

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

101.124  000.515  000.515: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-startify/autoload/startify/fortune.vim
110.340  000.107  000.107: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-startify/syntax/startify.vim
500.638  000.091  000.091: sourcing /var/folders/fj/br_c8zkj6dg6dswmywrh4ygh0000gn/T/nvim5IXDjy/coc.nvim-44562/coc-44562.vim
527.194  000.076  000.076: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/autoload/provider/pythonx.vim
548.536  000.199  000.199: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/autoload/remote/host.vim
548.607  021.790  021.515: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/autoload/provider/python3.vim
548.940  000.022  000.022: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/autoload/provider.vim
601.622  478.964: VimEnter autocommands
601.632  000.010: UIEnter autocommands
601.633  000.001: before starting main loop
608.871  007.238: first screen update
608.876  000.005: --- NVIM STARTED ---


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.005  000.005: --- NVIM STARTING ---
000.362  000.358: locale set
008.062  007.700: inits 1
008.098  000.036: window checked
011.087  002.989: parsing arguments
011.381  000.294: expanding arguments
011.452  000.070: inits 2
011.885  000.433: init highlight
011.886  000.001: waiting for UI
013.913  002.028: done waiting for UI
013.920  000.007: init screen for UI
013.946  000.026: init default mappings
014.029  000.083: init default autocommands
016.145  001.286  001.286: sourcing /Users/caoyu/.config/nvim/autoload/plug.vim
030.201  000.011  000.011: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/neorg/ftdetect/norg.vim
030.439  000.017  000.017: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vimtex/ftdetect/cls.vim
030.519  000.022  000.022: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vimtex/ftdetect/tex.vim
030.576  000.011  000.011: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vimtex/ftdetect/tikz.vim
030.706  000.038  000.038: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-markdown/ftdetect/markdown.vim
030.881  000.043  000.043: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-pandoc/ftdetect/pandoc.vim
031.022  000.021  000.021: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/csv.vim/ftdetect/csv.vim
031.098  000.008  000.008: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/orgmode/ftdetect/org.vim
031.140  000.010  000.010: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/orgmode/ftdetect/org_archive.vim
031.464  000.020  000.020: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/fusion.vim
031.535  000.022  000.022: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/gdresource.vim
031.573  000.009  000.009: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/gdscript.vim
031.651  000.021  000.021: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/glimmer.vim
031.727  000.020  000.020: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/glsl.vim
031.777  000.011  000.011: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/gowork.vim
031.820  000.016  000.016: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/graphql.vim
031.867  000.015  000.015: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/hack.vim
031.925  000.016  000.016: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/hcl.vim
031.977  000.011  000.011: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/heex.vim
032.038  000.012  000.012: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/hjson.vim
032.105  000.013  000.013: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/json5.vim
032.181  000.024  000.024: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/ledger.vim
032.249  000.014  000.014: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/nix.vim
032.302  000.014  000.014: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/prisma.vim
032.365  000.022  000.022: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/pug.vim
032.411  000.015  000.015: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/ql.vim
